NUMBER,SERVER,ADDRESS,LOCATION
50,swidc01.scccd.net,10.4.4.202,cn=10.4.4.202
51,sdofs001.scccd.net,10.4.4.20,cn=10.4.4.20
52,srcdc2.scccd.net,10.4.5.101,cn=srcdc2.scccd.net
53,sdodc1-08e.scccd.net,10.4.5.11,cn=sdodc1-08e.scccd.net
54,sdodc3-08e.scccd.net,10.4.5.13,cn=sdodc3-08e.scccd.net
55,socdc1-08e.scccd.net,10.4.5.251,cn=socdc1-08e.scccd.net
56,sfcdc001.scccd.net,10.40.2.100,cn=sfcdc001.scccd.net
57,sfcdc001.scccd.net,10.40.250.10,cn=sfcdc001.scccd.net
58,sfcdc002.scccd.net,10.40.250.15,cn=sfcdc002.scccd.net
59,srcclass.SCCCD.NET,10.64.4.105,cn=srcclass.SCCCD.NET
60,srcdc01.scccd.net,10.64.4.10,cn=10.64.4.10
61,srcdc001.scccd.net,10.64.4.10,cn=srcdc001.scccd.net
62,srcdc2.scccd.net,10.64.4.12,cn=srcdc2.scccd.net
63,srcdc003.scccd.net,10.64.4.15,cn=srcdc003.scccd.net
64,srcris001.SCCCD.NET,10.64.4.254,cn=10.64.4.254
65,srcris001.scccd.net,10.64.4.254,cn=10.64.4.254
66,srcas02.scccd.net,10.64.4.40,cn=srcas02.scccd.net
67,srcas03.scccd.net,10.64.4.45,cn=srcas03.scccd.net
68,srcfs01dhcp.scccd.net,10.64.4.45,cn=srcfs01dhcp.scccd.net
69,srcfs01dhcp2.scccd.net,10.64.4.47,cn=srcfs01dhcp2.scccd.net
70,srcris001.SCCCD.NET,10.64.7.100,cn=10.64.7.100
71,srcris001.SCCCD.NET,10.64.7.101,cn=10.64.7.101
72,smcas001.scccd.net,10.96.10.10,cn=smcas001.scccd.net
73,smcdc001.scccd.net,10.96.4.10,cn=smcdc001.scccd.net
74,smcdc002.scccd.net,10.96.4.15,cn=smcdc002.scccd.net
75,smcdc1.scccd.net,10.96.4.19,cn=smcdc1.scccd.net
76,smcas011.scccd.net,10.96.4.21,cn=smcas011.scccd.net
77,smcsusris001.scccd.net,10.96.4.31,cn=10.96.4.31
78,SMCAS03.SCCCD.NET,10.96.4.42,cn=SMCAS03.SCCCD.NET
79,smcas015.scccd.net,10.98.220.2,cn=smcas015.scccd.net
80,socas01.scccd.net,169.254.125.59,cn=socas01.scccd.net
